,title,station,date,company,link,carrer,work,machul,juso,search_key
0,파이썬(JAVA)경력자 채용,서울 강남구, 06/25(금),(주)이노그루,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40394880&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 5~10년,"소프트웨어개발,시스템운영,Java·JSP","14억 1,018만원",서울 강남구,파이썬
1,[경력] 개발팀 파이썬 개발자 채용 공고,서울 성동구, 06/26(토),(주)에이아이스페라,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40119884&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 1~5년,"종합포털,커뮤니티,Python","7억 3,588만원",서울 성동구,파이썬
2,임베디드 시스템 파이썬 개발자 모집,서울 성동구, 07/31(토),주식회사 퀀텀게이트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40386675&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력5년,"전자,Linux,Python",227만원,주소없음,파이썬
3,파이썬(딥러닝) 개발자 모집 [신입],경기 용인시 수지구, 07/31(토),신플렛(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40448908&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"시스템관리,소프트웨어개발,인공지능(AI)","8억 4,352만원",경기 용인시 수지구,파이썬
4,[국비지원IT교육] 자바&파이썬 웹애플리케이션 전문가 양성과정,서울 서초구, 07/12(월),(주)케이티디에스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40468104&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"기능학원,직업전문학교,ASP","4,873억 2,273만원",서울 서초구,파이썬
5,"AI, ML 파이썬/자바 개발자 공고(청년채움공제 가능)",부산 해운대구, 08/02(월),(주)데이터에듀,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40388775&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"SI·시스템통합,DataMining,OLAP",매출액없음,부산 해운대구,파이썬
6,파이썬 개발 Python ReactJS,서울 동대문구, 06/30(수),(주)임픽스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40382303&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"솔루션업체,소프트웨어개발,ASP","121억 8,112만원",서울 동대문구,파이썬
7,파이썬 개발 Python ReactJS,서울 동대문구, 07/28(수),(주)임픽스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40351171&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"솔루션업체,소프트웨어개발,Python","121억 8,112만원",서울 동대문구,파이썬
8,(개발팀) 파이썬개발자 채용,경기 수원시 영통구, 08/02(월),디엑스랩즈(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40389949&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"소프트웨어개발,모델링,빅데이터",매출액없음,서울 강남구,파이썬
9,"IT프로그래밍 분야 강사님 모집 (파이썬, AI, 빅데이터, 핀테크)",서울 중구, 07/25(일),(주)아시아경제,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40328169&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력1년,"경제신문,컴퓨터·IT강사",매출액없음,서울 중구,파이썬
10,[이젠 종로캠퍼스] 파이썬 기반 빅데이터 강사님을 모십,서울 종로구, 07/09(금),(주) 이젠아카데미,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40202334&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력1년,"기능학원,직업전문학교,IT강의",매출액없음,서울 종로구,파이썬
11,"[프리랜서/계약직] 자바스크립트, c언어, 파이썬 웹개발자 채용",서울 금천구, 06/27(일),(주)애드픽네트워크,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40125854&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력2년,"안드로이드,Java·JSP,PHP",매출액없음,서울 금천구,파이썬
12,[IT 강의] 파이썬 직업훈련 강사 구인,서울 금천구, 08/13(금),글로벌산업기술교육원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40469641&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"직업전문학교,프로그래밍,시스템·DB·보안",매출액없음,서울 금천구,파이썬
13,디지털헬스케어 플랫폼 파이썬 백엔드 신입/경력 개발자 모집,서울 성동구,상시채용,(주)파인헬스케어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40236960&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"솔루션업체,소프트웨어개발,Python","6,222만원",서울 성동구,파이썬
14,api를 활용한 플랫폼 개발자 모집(개발언어: 파이썬),서울 영등포구, 08/01(일),솔라디자인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40382087&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력,"웹에이전시,Python",매출액없음,서울 금천구,파이썬
15,백엔드 개발자 (파이썬),서울 강남구,내일마감,유어피플,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40391013&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력5년,"NI·네트워크통합,DBMS,시스템관리",매출액없음,인천 연수구,파이썬
16,"프로그래밍 분야 모집(경력/신입) - 아두이노, 파이썬 코딩 기술",울산 울주군,채용시,(주)지이엠플랫폼,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40099979&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"교육기관,대학교,교육기획","8억 5,668만원",울산 남구,파이썬
17,"자바, 파이썬, JSP 개발 외(퍼블리싱 및 디자인 가능 우대)",서울 강남구, 06/30(수),(주)비씨티원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40313655&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"소프트웨어개발,Java·JSP,XML",매출액없음,서울 강남구,파이썬
18,백엔드 개발(파이썬/자바) PM가능 경력자 모집,경남 창원시, 07/15(목),나우온,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40473721&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력,"시스템관리,솔루션업체,소프트웨어개발",매출액없음,경남 창원시 의창구,파이썬
